Departamento;Descripción
100;Dir. Financiera
105;Contabilidad y Consolidación de Filiales
110;Tesorería
115;Admon. de Proyectos
140;Site Administrations Managers
205;RR.HH. Y Servicios Generales
210;Planificación de Recursos
225;Admon. y Control de Recursos Internacional
285;SS.GG. Internacional
350;Administrative
410;Control de Documentación
450;CALIDAD
455;HSE y Medioambiente
465;QA
470;QC
475;HSE Construcción
480;HSE Ingeniería
505;Dir. Projecto
550;Ingeniería
575;Dir. Projecto
600;Project Management
655;Tuberías
660;Civil
670;Electricidad
680;Mecánica
685;Instrumentación y Control
695;Materiales
705;Dir. Aprovisionamiento
710;Compras
715;Activación
725;Logística y Tráfico
750;Dir. Construcción
755;Adm. Contrsucción
760;Supervisión Construcción
765;Control de Producción
775;Admon. Subcontratos
780;Gestión de Materiales
805;Comisionado
810;Hand Over
840;Control de Cantidades
860;Director de Proyecto
1000;IT
1100;workplace Management
1190;Facilities
1200;Comunicaciones
2050;Planificación
2055;Control de Producción
2060;EPC Scheduling
2065;Control de Costes y Enlace Construcción
2070;EPC Forecast Control
2100;Cost Control
2105;Gestión de Contratos
2135;Project Control Management
